date,positive_ratio,top_word,strongest_title_with_top_word
2024-08-26,25.22,엔비,엔비 역사상 마지막 최저점 종료
2024-08-27,25.53,엔비,엔비디아 실적 망할거라는 애들한테 한마디 해줘
2024-08-28,25.19,엔비,엔비 기다리는 맛이 없다
2024-08-29,25.01,엔비,엔비 실망 실현 매물에 나머지 타 주식 프로그램 매매 들어간듯
2024-08-30,26.19,엔비,엔비디아의 걸작 '블랙웰' 죽은 모근 재생 능력 밝혀져
2024-08-31,28.27,엔비,엔비디아 다음주에 악재로 나락감
2024-09-02,28.07,나선,나선 -100포인트 ㅋㅋㅋ
2024-09-03,25.47,엔비,엔비디아 이야기밖에없는게 아직 하락폭이 남았구나
2024-09-04,26.26,엔비,레버 탄것도 아니고 엔비디아인데 하루만에 마13 ㅋㅋ
2024-09-05,24.73,엔비,엔비디아 이건 아니지 씨발 ㅠㅠ
2024-09-06,25.7,엔비,내돈 가져간 엔비디아 죽어라
2024-09-07,29.02,금투세,진심으로 궁금한데 금투세를 왜 까는 거임?
2024-09-09,24.87,엔비,엔비 양심도 없이 3프로나 올랐었지
2024-09-10,26.51,트럼프,트럼프 반박은 못하고 똑같은말 계속 한다고 까이는데?
2024-09-11,26.15,엔비,"""엔비디아, 과도한 기대감 침체시 미국증시 악영향"""
2024-09-12,25.96,엔비,"""엔비디아, 과도한 기대감 침체시 미국증시 악영향"""
2024-09-13,26.77,엔비,몬가 느낌 안 좋아서 엔비 익절했다 일단
2024-09-14,30.11,이유,세금내는게 존나 아까운이유는 횡령때문이지 뭐겠냐
2024-09-16,25.76,인텔,인텔 본장에서 더 오를 것 같은데 왜 프리장에서 안사는 것임??
2024-09-17,27.3,인텔,인텔 22.5에 들어가도 ㄱㅊ?
2024-09-18,24.68,파월,제롱 파월 손길 부드럽고 따숩
2024-09-19,26.36,나스닥,나스닥여기서 더오르려나
2024-09-20,24.29,엔비,엔비 롱인지 숏인지 도저히 가늠이 안가네 ㄹㅇ;
2024-09-21,31.43,인텔,인텔 기사 이거 구라로 뜸? 구라라는 기사는 못찾았음
2024-09-23,26.17,테슬라,테슬라 지금이라도 사야하는 이유
2024-09-24,25.01,엔비,엔비디아 자사주 매입 불가능 기간
2024-09-25,26.71,엔비,엔비디아 다신 안사기로 조국과 민족에 맹새했음
2024-09-26,23.87,슈마컴,미장 진짜 좋네 슈마컴같은 좆밥이
2024-09-27,23.93,엔비,엔비디아 인텔 암드 불량품 찍어내는거 보면
2024-09-28,28.23,이유,아득바득 살아도 달라지는거 없는이유
2024-09-30,25.44,엔비,엔비디아도 결국 사기꾼이였네
2024-10-01,23.45,이란,이란 병신인 이유
2024-10-02,25.44,테슬라,돈다빠져나간 엔비디아 테슬라아직도 쥐고있는놈들이 제일병신임
2024-10-03,25.82,엔비,아니 슨피 스닥 마이너스인데 엔비혼자 양전머냐 진ㅉ따?
2024-10-04,24.96,테슬라,테슬라 처음사봤는데 개재밌네 ㅋㅋ
2024-10-05,28.06,이유,문해력 좆도 의미없는이유
2024-10-07,23.85,엔비,엔비디아발 대폭락장 드디어 오냐?
2024-10-08,26.27,엔비,엔비디아 어닝도 안했는데 전고 트라이 하노 ㅋㅋ
2024-10-09,28.17,엔비,트슴 겨우 현상유지면 당연좆박지 엔비못봄?
2024-10-10,26.12,테슬라,테슬라 뭔소릴 해도 설득력 없는 이유.jpg
2024-10-11,30.68,테슬라,테슬라 실적 좆박은 거 결정된 사항이잖아
2024-10-12,29.24,이유,돈 많아도 존나 의미 없는 이유 ㅋㅋㅋㅋㅋ
2024-10-14,28.36,엔비,엔비에 더이상의 원동력이 없다던 새끼들 다 어디감
2024-10-15,23.97,엔비,엔비숏 뻘리 버리고 속쓰 물타야되는데
2024-10-16,26.09,엔비,엔비디아없고 삼전에 물린 영포티들 밟아죽이고싶으면 정상?
2024-10-17,25.43,엔비,엔비없는 개허접 없재??
